Title,Difficulty,Level,Chart Constant,Score,Note Count,PM Rating,Play Rating,Play Potential
trappola bewitching,FTR,9+,9.9,"9,919,520","1,044",-,1.5976,11.4976
Snow White,FTR,8,8.4,"9,919,075",978,-,1.595375,9.995375
Black Territory,FTR,9+,9.8,"9,913,277","1,195",-,1.566385,11.366385
cry of viyella,FTR,8+,8.7,"9,912,224",791,-,1.56112,10.26112
MANTIS (Arcaea Ultra-Bloodrush VIP),FTR,9,9.4,"9,912,145","1,014",-,1.560725,10.960725
Vicious Heroism,FTR,10,10,"9,909,729","1,150",-,1.548645,11.548645
BLRINK,FTR,9+,9.7,"9,907,288","1,015",-,1.53644,11.23644
Sheriruth,FTR,10,10,"9,905,465","1,151",-,1.527325,11.527325
GIMMICK,FTR,9,9.5,"9,905,155",733,-,1.525775,11.025775
Glow,FTR,9,9.3,"9,902,577",916,-,1.512885,10.812885
Party Vinyl,FTR,9,9.4,"9,900,686",800,-,1.50343,10.90343
Cybernecia Catharsis,FTR,9,9.5,"9,900,392",946,-,1.50196,11.00196
Libertas,FTR,9,9.2,"9,895,276",947,-,1.47638,10.67638
Cyaegha,FTR,10+,10.7,"9,895,272","1,368",-,1.47636,12.17636
Logos,FTR,10,10.2,"9,895,171","1,040",-,1.475855,11.675855
The Message,FTR,9+,9.7,"9,895,058",992,-,1.47529,11.17529
Memory Forest,FTR,9+,9.8,"9,893,511",978,-,1.467555,11.267555
ultradiaxon-N3,FTR,10,10.3,"9,891,210","1,228",-,1.45605,11.75605
Tempestissimo,PRS,9,9.5,"9,889,717","1,034",-,1.448585,10.948585
Shades of Light in a Transcendent Realm,BYD,9,9.1,"9,881,023","1,042",-,1.405115,10.505115
Climax,FTR,10,10.4,"9,876,842","1,367",-,1.38421,11.78421
Strongholds,FTR,9,9.2,"9,876,125",922,-,1.380625,10.580625
Metallic Punisher,FTR,10,10.3,"9,875,921","1,238",-,1.379605,11.679605
Monochrome Princess,FTR,9+,9.7,"9,872,476",974,-,1.36238,11.06238
Dynitikós,FTR,9,9.5,"9,869,052",986,-,1.34526,10.84526
Lost Civilization,FTR,9,9.2,"9,869,017",986,-,1.345085,10.545085
To the Milky Way,FTR,10,10.4,"9,868,321","1,392",-,1.341605,11.741605
Ashen 6oundary,FTR,9+,9.9,"9,865,830","1,183",-,1.32915,11.22915
Malicious Mischance,FTR,10,10.2,"9,863,309","1,126",-,1.316545,11.516545
Nirv lucE,FTR,10,10.2,"9,863,085",980,-,1.315425,11.515425
Einherjar Joker,FTR,9+,9.8,"9,862,918","1,159",-,1.31459,11.11459
"Infinite Strife,",FTR,9+,9.9,"9,862,392","1,511",-,1.31196,11.21196
Infinity Heaven,BYD,9,9.6,"9,858,872",986,-,1.29436,10.89436
Trap Crow,FTR,9+,9.9,"9,856,669","1,074",-,1.283345,11.183345
Ether Strike,FTR,10,10.3,"9,855,717","1,170",-,1.278585,11.578585
Last Celebration,FTR,10,10.4,"9,852,168","1,475",-,1.26084,11.66084
Purple Verse,FTR,9,9.6,"9,849,391","1,023",-,1.246955,10.846955
Dancin' on a Cat's Paw,FTR,9,9.2,"9,849,200",891,-,1.246,10.446
Vexaria,BYD,9,9,"9,847,818",785,-,1.23909,10.23909
Nhelv,FTR,9+,9.9,"9,847,547","1,108",-,1.237735,11.137735
Innocence,ETR,9+,9.7,"9,845,464","1,157",-,1.22732,10.92732
HIVEMIND,FTR,10,10,"9,845,355","1,252",-,1.226775,11.226775
Last | Moment,BYD,9,9.6,"9,843,085",888,-,1.215425,10.815425
Nameless Passion,FTR,9+,9.8,"9,841,631","1,223",-,1.208155,11.008155
Redraw the Colorless World,FTR,9,9.4,"9,837,111",886,-,1.185555,10.585555
SAIKYO STRONGER,PRS,9,9.4,"9,836,933","1,067",-,1.184665,10.584665
Raven's Pride,FTR,9,9.4,"9,835,845","1,030",-,1.179225,10.579225
SOUNDWiTCH,FTR,9+,9.8,"9,835,037",785,-,1.175185,10.975185
Purgatorium,BYD,9,9.6,"9,829,618","1,051",-,1.14809,10.74809
Dement ~after legend~,BYD,9+,9.9,"9,827,440","1,040",-,1.1372,11.0372
Far Away Light,FTR,9+,9.8,"9,827,184","1,322",-,1.13592,10.93592
Löschen,FTR,10,10.2,"9,822,948","1,235",-,1.11474,11.31474
Axium Crisis,FTR,10,10.6,"9,822,704","1,094",-,1.11352,11.71352
Alone & Lorn,FTR,9,9.6,"9,820,433",970,-,1.102165,10.702165
Kanjou no Matenrou ~Arr.Demetori,FTR,9+,9.8,"9,819,552","1,294",-,1.09776,10.89776
Gekka (Short Version),FTR,8,8.6,"9,817,127",817,-,1.085635,9.685635
Turbocharger,FTR,9,9,"9,817,013",979,-,1.085065,10.085065
Lumia,BYD,9,9.5,"9,816,445",814,-,1.082225,10.582225
enchanted love,FTR,8,8.6,"9,816,196",759,-,1.08098,9.68098
Seclusion,FTR,10,10.6,"9,811,082","1,132",-,1.05541,11.65541
Arcahv,FTR,9+,9.9,"9,808,480","1,065",-,1.0424,10.9424
Loveless Dress,FTR,9+,9.7,"9,806,614",850,-,1.03307,10.73307
Hybris (The one who shattered),FTR,9+,9.8,"9,804,318","1,196",-,1.02159,10.82159
Defection,FTR,9+,9.8,"9,799,358","1,141",-,0.99786,10.79786
GOODTEK (Arcaea Edit),BYD,9+,9.8,"9,796,929","1,103",-,0.9897633333,10.78976333
Pentiment,FTR,10,10.4,"9,796,657","1,345",-,0.9888566667,11.38885667
KYOREN ROMANCE,FTR,10+,10.7,"9,794,014","1,519",-,0.9800466667,11.68004667
CROSS†SOUL,FTR,9,9.4,"9,790,755","1,081",-,0.9691833333,10.36918333
Transient Space,FTR,9,9.5,"9,789,490",805,-,0.9649666667,10.46496667
Dual Doom Deathmatch,ETR,10,10.3,"9,788,272","1,292",-,0.9609066667,11.26090667
Bookmaker (2D Version),BYD,10,10,"9,787,440","1,287",-,0.9581333333,10.95813333
Fairytale,BYD,9,9.5,"9,786,187",932,-,0.9539566667,10.45395667
Ascent,FTR,9+,9.8,"9,776,079","1,023",-,0.9202633333,10.72026333
Callima Karma,FTR,9+,9.8,"9,776,017","1,222",-,0.9200566667,10.72005667
Fracture Ray,FTR,11,11.1,"9,774,364","1,279",-,0.9145466667,12.01454667
Ringed Genesis,FTR,10+,10.8,"9,774,043","1,146",-,0.9134766667,11.71347667
Ultimate taste,FTR,9+,9.9,"9,773,521","1,405",-,0.9117366667,10.81173667
"Good bye, Merry-Go-Round.",FTR,10,10.6,"9,770,332","1,084",-,0.9011066667,11.50110667
GLORY: ROAD,FTR,10,10.5,"9,768,008","1,479",-,0.89336,11.39336
Capella,FTR,10,10.2,"9,759,435","1,159",-,0.8647833333,11.06478333
Live Fast Die Young,FTR,10,10.6,"9,757,349","1,292",-,0.85783,11.45783
Antagonism,FTR,9+,9.9,"9,751,390","1,142",-,0.8379666667,10.73796667
Rise of the World,FTR,10,10.5,"9,750,146","1,176",-,0.83382,11.33382
The Formula,FTR,9,9.3,"9,749,916",957,-,0.8330533333,10.13305333
Kanagawa Cyber Culvert,BYD,9+,9.8,"9,742,286","1,121",-,0.80762,10.60762
Ikazuchi,FTR,10,10.3,"9,741,312","1,347",-,0.8043733333,11.10437333
Misdeed -la bonté de Dieu et l'origine du mal-,FTR,10+,10.9,"9,738,502","1,522",-,0.7950066667,11.69500667
NEO WINGS,FTR,10,10.2,"9,737,517","1,328",-,0.7917233333,10.99172333
G e n g a o z o,FTR,10,10.1,"9,723,925","1,353",-,0.7464166667,10.84641667
PRAGMATISM,FTR,10,10.1,"9,719,468",942,-,0.73156,10.83156
NULL APOPHENIA,FTR,10+,10.7,"9,716,305","1,299",-,0.7210166667,11.42101667
Let's Rock (Arcaea mix),FTR,9+,9.7,"9,712,130","1,177",-,0.7071,10.4071
Halcyon,FTR,10,10.5,"9,711,690","1,227",-,0.7056333333,11.20563333
IZANA,FTR,10,10.3,"9,708,828",976,-,0.6960933333,10.99609333
Ignotus Afterburn,BYD,9+,9.9,"9,708,458","1,077",-,0.69486,10.59486
GIMME DA BLOOD,FTR,10,10.5,"9,708,184","1,093",-,0.6939466667,11.19394667
conflict,FTR,10,10.2,"9,707,306","1,056",-,0.69102,10.89102
Arcana Eden,FTR,10,10.5,"9,705,743","1,792",-,0.68581,11.18581
On And On!! feat. Jenga,FTR,9,9.5,"9,701,695",836,-,0.6723166667,10.17231667
Remind the Souls (Short Version),FTR,9,9.6,"9,699,221",945,-,0.66407,10.26407
Grievous Lady,FTR,11,11.1,"9,694,361","1,450",-,0.64787,11.74787
THE ULTIMACY,FTR,9+,9.8,"9,686,678","1,304",-,0.62226,10.42226
inkar-usi,BYD,9,9.4,"9,674,036",857,-,0.58012,9.98012
Heavensdoor,BYD,10+,10.8,"9,652,517","1,534",-,0.50839,11.30839
Moonheart,BYD,9+,9.7,"9,649,794","1,139",-,0.4993133333,10.19931333
Ai Drew,FTR,9+,9.8,"9,649,127","1,066",-,0.49709,10.29709
Chronicle,FTR,10,10.5,"9,645,058","1,264",-,0.4835266667,10.98352667
World Ender,FTR,10,10,"9,641,819","1,225",-,0.47273,10.47273
Astra walkthrough,FTR,9+,9.9,"9,640,018","1,191",-,0.4667266667,10.36672667
False Embellishment,FTR,9,9.3,"9,639,608",969,-,0.46536,9.76536
ENERGY SYNERGY MATRIX,FTR,9,9.6,"9,637,445",922,-,0.45815,10.05815
REKKA RESONANCE,FTR,10+,10.7,"9,629,710","1,212",-,0.4323666667,11.13236667
#1f1e33,FTR,11,11.1,"9,626,954","1,576",-,0.42318,11.52318
